# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9800 GTX/9800 GTX+
method,gputime,cputime,occupancy
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40936.1,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15727.1,6.635,0.167
memcopy,135.104,946.489,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41339.6,562.851,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15788.5,8.241,0.167
memcopy,134.816,633.321,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41456.2,11.594,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15795.9,6.775,0.167
memcopy,136.224,654.064,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40946.1,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15824.4,7.194,0.167
memcopy,134.752,1719.56,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41293.6,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15725.5,7.683,0.167
memcopy,140.8,1969.8,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41356.9,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15793.6,6.984,0.167
memcopy,136.576,669.289,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40902.1,8.8,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15805,6.705,0.167
memcopy,134.944,667.543,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40918.4,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15839.6,7.054,0.167
memcopy,134.752,700.089,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41416.9,8.87,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15741.7,6.984,0.167
memcopy,135.392,631.365,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40969.2,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15837.4,7.473,0.167
memcopy,134.944,637.162,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40937.1,8.171,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15774.9,6.984,0.167
memcopy,134.784,818.4,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41375,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15830.1,6.565,0.167
memcopy,136.896,698.832,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40935.9,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15888.5,9.01,0.167
memcopy,134.976,640.933,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40928.4,7.613,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15710.9,7.124,0.167
memcopy,140.576,657.346,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41129,9.219,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15792.9,6.914,0.167
memcopy,135.776,682.349,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40907.3,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15879.5,8.521,0.167
memcopy,134.944,713.848,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40901.4,8.381,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15769.3,6.635,0.167
memcopy,136.192,669.219,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41071.4,7.962,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15761.9,7.263,0.167
memcopy,137.312,631.295,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40903.2,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15880.4,7.403,0.167
memcopy,138.976,736.965,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40902.7,7.962,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15850,6.984,0.167
memcopy,135.488,642.819,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40931.5,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15895.8,11.594,0.167
memcopy,134.976,697.156,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40934.1,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15727.6,7.473,0.167
memcopy,134.848,623.613,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41305.4,8.102,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15840,7.124,0.167
memcopy,135.264,678.857,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40906,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15762.6,8.102,0.167
memcopy,136.8,641.911,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40930.7,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15693.4,7.403,0.167
memcopy,134.976,747.092,
