# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9800 GTX/9800 GTX+
method,gputime,cputime,occupancy
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15786.8,7.124,0.167
memcopy,141.824,2459.81,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50556.2,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15787.8,7.333,0.167
memcopy,135.136,651.619,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50615.9,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15823.2,7.124,0.167
memcopy,135.072,650.711,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50421.9,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15885.8,6.984,0.167
memcopy,140.48,1566.54,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50535.2,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15808.2,7.054,0.167
memcopy,135.232,652.876,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50596.4,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15828.1,8.87,0.167
memcopy,134.784,699.6,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50435.4,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15898.8,7.194,0.167
memcopy,137.92,663.702,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50566.8,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15876.4,173.416,0.167
memcopy,135.328,650.432,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50609.2,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15804.7,6.425,0.167
memcopy,135.104,645.403,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50417.1,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15850.5,6.425,0.167
memcopy,138.912,724.184,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50486.5,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15709.4,6.565,0.167
memcopy,135.04,675.295,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50569.9,173.695,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15811.4,6.844,0.167
memcopy,135.104,624.032,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50380.8,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15813.1,6.775,0.167
memcopy,135.008,661.537,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50433.6,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15887.9,6.286,0.167
memcopy,134.976,645.892,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50180.6,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15838.8,6.984,0.167
memcopy,134.944,653.016,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50534.9,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15732.1,6.844,0.167
memcopy,135.104,798.984,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50190.3,7.822,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15802.4,6.356,0.167
memcopy,137.44,980.921,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50185.9,8.66,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15869.5,6.705,0.167
memcopy,135.552,652.387,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50167.1,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15894.2,6.984,0.167
memcopy,135.136,631.854,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50194.5,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15893.4,6.914,0.167
memcopy,134.976,640.864,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50549.6,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15819.2,119.568,0.167
memcopy,135.904,668.87,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50385.4,7.962,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15769.6,6.775,0.167
memcopy,135.136,624.66,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50446.8,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15879.2,7.962,0.167
memcopy,134.752,676.413,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50514.2,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15713.6,6.984,0.167
memcopy,134.784,727.048,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50580.5,9.917,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15756.7,6.914,0.167
memcopy,134.944,855.137,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50528.2,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15801.5,6.705,0.167
memcopy,134.816,649.664,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50167.7,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15768.9,7.194,0.167
memcopy,135.008,940.622,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50554.2,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15832.9,7.263,0.167
memcopy,134.4,4341.61,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50511.5,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15778.8,6.425,0.167
memcopy,135.008,701.556,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50595,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15792.3,6.775,0.167
memcopy,135.136,624.311,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50366.4,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15788,6.844,0.167
memcopy,138.528,5033.74,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50509.3,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15833.5,9.359,0.167
memcopy,136.288,770.07,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50579.2,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15750.3,7.194,0.167
memcopy,134.816,691.149,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50407,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15871.3,6.844,0.167
memcopy,146.976,807.994,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50528.9,8.451,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15764.8,6.775,0.167
memcopy,134.944,623.822,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50597.9,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15781.6,7.752,0.167
memcopy,141.344,740.108,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50410.4,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15865.7,6.775,0.167
memcopy,135.584,1067.87,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50523,8.66,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15796.3,6.914,0.167
memcopy,135.136,700.578,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50587,6.495,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15777.7,6.705,0.167
memcopy,135.072,650.711,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50398.1,7.752,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15799.5,6.775,0.167
memcopy,137.504,648.616,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50487.8,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15902.6,6.984,0.167
memcopy,135.616,623.194,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50592.2,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15807.9,6.425,0.167
memcopy,134.976,622.286,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50386.1,9.638,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15812.9,6.775,0.167
memcopy,134.976,625.568,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50459.1,9.778,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15929,7.124,0.167
memcopy,134.816,652.597,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50562.4,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15809.8,6.914,0.167
memcopy,135.008,626.826,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50345,6.356,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15835.7,6.844,0.167
memcopy,135.104,623.264,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50425.3,8.521,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15904.2,6.775,0.167
memcopy,134.816,693.245,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50173.3,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15839.4,6.775,0.167
memcopy,134.784,681.86,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50542.8,7.683,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15822.6,7.333,0.167
memcopy,134.944,625.219,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50617,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15790.4,6.844,0.167
memcopy,134.976,667.752,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50417.3,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15837.6,6.495,0.167
memcopy,134.848,643.238,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50516.2,8.171,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15807,7.054,0.167
memcopy,134.72,660.14,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50575.5,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15825.4,7.403,0.167
memcopy,140.224,684.305,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50434,10.127,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15812.6,6.914,0.167
memcopy,134.816,761.619,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50487.5,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15768.5,6.495,0.167
memcopy,144.832,827.2,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50587.6,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15831.4,7.054,0.167
memcopy,134.88,657.695,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50606.5,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15784.8,8.521,0.167
memcopy,138.048,1654.47,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50433,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15914.5,6.705,0.167
memcopy,135.04,649.175,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50507.7,9.498,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15813.9,7.473,0.167
memcopy,134.944,648.686,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50592.5,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15827.9,7.194,0.167
memcopy,134.88,1066.41,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50428.5,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15845.9,6.844,0.167
memcopy,134.912,665.867,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50477.7,8.59,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15805.6,6.775,0.167
memcopy,134.784,657.835,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50556.1,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15770.7,7.124,0.167
memcopy,135.008,724.603,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50624.9,6.495,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15776.7,7.263,0.167
memcopy,142.336,913.733,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50184,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15793.1,6.914,0.167
memcopy,136.736,782.921,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50503.2,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15833.2,6.984,0.167
memcopy,134.912,650.921,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50579.6,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15867.8,7.124,0.167
memcopy,135.04,663.352,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50391,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15798.7,6.914,0.167
memcopy,135.008,651.06,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50459.4,7.962,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15791.9,6.635,0.167
memcopy,134.88,647.918,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50167.5,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15904.8,6.775,0.167
memcopy,134.816,680.394,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50586.7,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15830.5,6.844,0.167
memcopy,135.2,613.975,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50365.9,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15802.1,6.635,0.167
memcopy,142.88,819.867,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50169.4,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15818.1,6.705,0.167
memcopy,135.072,621.238,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50449.3,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15737.7,7.752,0.167
memcopy,136.128,645.054,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50545.2,6.565,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15818,6.286,0.167
memcopy,135.36,978.546,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50173.9,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15862.4,7.333,0.167
memcopy,135.456,623.473,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50185.4,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15883.9,6.356,0.167
memcopy,134.752,628.921,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50451.8,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15752.1,6.914,0.167
memcopy,134.912,620.33,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50208.8,8.311,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15855.9,7.124,0.167
memcopy,134.816,677.111,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50594,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15893.3,7.333,0.167
memcopy,135.264,628.921,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50172.9,8.8,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15790.6,7.822,0.167
memcopy,135.52,690.311,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50436,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15825.2,6.565,0.167
memcopy,134.752,705.746,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50194.1,33.314,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15790.8,6.775,0.167
memcopy,134.88,622.845,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50562.9,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15783.9,6.775,0.167
memcopy,134.816,656.648,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50376.1,7.892,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15831.5,6.914,0.167
memcopy,134.944,669.289,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50437.7,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15946.2,7.333,0.167
memcopy,135.072,656.787,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50491.6,9.079,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15766.2,7.124,0.167
memcopy,134.784,674.527,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50577.9,6.565,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15832.9,216.997,0.167
memcopy,134.752,663.073,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50383.7,8.311,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15829,6.565,0.167
memcopy,135.104,900.045,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50446.6,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15758.6,7.473,0.167
memcopy,134.72,669.987,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50496.2,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15877.4,6.914,0.167
memcopy,134.848,690.87,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50567.4,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15783.9,7.194,0.167
memcopy,134.72,666.006,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50622.7,7.613,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15747,6.844,0.167
memcopy,134.816,1071.09,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50179.4,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15712.5,6.286,0.167
memcopy,135.36,721.6,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50515.7,9.708,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15903.1,6.635,0.167
memcopy,135.104,679.067,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50596.8,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15831.9,6.635,0.167
memcopy,137.088,1690.02,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50386.8,8.87,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15819.7,6.984,0.167
memcopy,134.976,651.549,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50480.9,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15922.1,6.914,0.167
memcopy,142.624,732.565,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50563,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15897.3,6.565,0.167
memcopy,134.848,623.403,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50564.9,9.289,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15813.8,7.962,0.167
memcopy,145.632,847.105,
